id,attribute,original,prediction,difference
e82,L,57.306666666666665,-5.494754,62.801420504252114
e83,L,54.98,-5.1933436,60.173343639373776
e84,L,55.153333333333336,-5.2763534,60.42968669255575
e9,L,84.94666666666666,1.3965063,83.55016035715738
MAE,,,,68.80641024676422
a1,a,13.75,18.11648,4.366479873657227
a10,a,21.01,20.791756,0.2182443237304703
a100,a,14.656666666666666,16.98841,2.331744283040365
a11,a,16.33,18.997599,2.6675986480712908
a12,a,13.043333333333335,16.52367,3.4803368631998683
a13,a,13.626666666666667,20.102802,6.476135609944661
a14,a,15.5,17.388382,1.8883819580078125
a15,a,20.2,16.633041,3.566958618164062
a16,a,19.426666666666666,21.469791,2.0431247456868498
a17,a,18.186666666666667,19.182238,0.9955709584554029
a18,a,18.426666666666666,19.655907,1.2292400105794279
a19,a,15.479999999999999,17.865248,2.385247726440431
a2,a,13.576666666666668,17.696415,4.119748280843098
a20,a,13.030000000000001,17.823536,4.793535919189452
a21,a,23.310000000000002,23.63608,0.32607978820800554
a22,a,22.19666666666667,20.712074,1.4845923868815127
a23,a,19.723333333333333,21.275482,1.5521488444010423
a24,a,19.118666666666666,21.063442,1.9447755635579433
a25,a,21.333333333333332,21.718878,0.3855444590250663
a26,a,19.27,23.33306,4.063059310913086
a27,a,22.98,23.269852,0.2898516845703121
a28,a,13.823333333333332,18.009481,4.186148096720379
a29,a,13.496666666666664,17.867224,4.370557072957359
a3,a,13.873333333333333,18.27201,4.398677469889323
a30,a,18.24,19.68298,1.442979583740236
a31,a,19.046666666666667,19.575064,0.5283970387776691
a32,a,17.836666666666666,19.138493,1.3018259175618496
a33,a,20.213333333333335,20.503988,0.29065493265787623
a34,a,19.98,20.392399,0.4123988342285152
a35,a,14.506666666666666,16.555077,2.048409932454428
a36,a,18.03,19.079487,1.049486846923827
a37,a,20.599999999999998,18.683378,1.9166217803955057
a38,a,21.76,19.389149,2.3708512878417984
a39,a,17.830000000000002,17.555748,0.2742520141601581
a4,a,19.173333333333332,18.102503,1.0708305104573554
a40,a,18.51,20.989317,2.4793169403076156
a41,a,17.64333333333333,16.819567,0.8237666066487606
a42,a,19.87666666666667,19.802143,0.07452356974284058
a43,a,18.290000000000003,19.025146,0.7351464843749973
a44,a,15.796666666666667,17.99242,2.1957535298665363
a45,a,18.29,19.844923,1.5549230194091805
a46,a,15.736666666666666,17.806574,2.069907201131185
a47,a,18.793333333333333,19.517294,0.7239605967203779
a48,a,20.44333333333333,20.556673,0.11333971659342623
a49,a,20.3,20.180504,0.11949615478515696
a5,a,19.33,21.787516,2.4575156402587908
a50,a,15.163333333333334,17.921457,2.75812395731608
a51,a,26.363333333333333,22.073784,4.2895494588216145
a52,a,22.996666666666666,22.48423,0.5124366251627599
a53,a,23.710000000000004,21.300762,2.4092378234863325
a54,a,22.536666666666665,24.456812,1.9201452382405613
a55,a,24.03,23.6481,0.38190010070800895
a56,a,14.413333333333334,16.732342,2.319008433024088
a57,a,12.606666666666667,17.565214,4.958547490437825
a58,a,14.796666666666667,16.258371,1.4617046864827472
a59,a,18.836666666666666,20.004457,1.1677908070882168
a6,a,15.576666666666666,21.05644,5.4797736867268885
a60,a,23.383333333333336,22.224888,1.1584454854329458
a61,a,19.583333333333332,17.10563,2.477702458699543
a62,a,24.08666666666667,22.48683,1.5998369089762399
a63,a,24.823333333333334,22.298653,2.524680684407553
a64,a,15.946666666666667,16.556927,0.6102600606282547
a65,a,19.72,17.193104,2.5268962097167957
a66,a,18.926666666666666,17.15584,1.7708267466227205
a67,a,17.616666666666667,17.941412,0.3247453053792313
a68,a,15.496666666666664,17.18606,1.6893932851155622
a69,a,22.683333333333334,23.58011,0.8967772165934242
a7,a,13.936666666666666,18.277784,4.341117680867514
a70,a,24.676666666666666,25.166594,0.4899268849690763
a71,a,27.149999999999995,23.279305,3.8706954956054638
a72,a,20.053333333333335,18.907549,1.1457844289143893
a73,a,20.94,19.913078,1.0269216918945325
a74,a,16.293333333333333,18.082125,1.7887913767496748
a75,a,19.353333333333335,18.058033,1.2953003438313822
a76,a,23.036666666666665,23.956953,0.9202863820393894
a77,a,22.953333333333333,22.860928,0.09240575154622377
a78,a,23.69333333333333,23.855598,0.16226511637369967
a79,a,21.80333333333333,19.91067,1.8926640065511044
a8,a,14.336666666666666,17.561186,3.224519170125326
a80,a,24.91,20.77036,4.139639053344727
a81,a,14.016666666666666,16.525152,2.5084855397542327
a82,a,15.366666666666667,18.29299,2.926323064168294
a83,a,16.653333333333336,17.995224,1.3418906656901015
a84,a,15.196666666666667,17.06202,1.865352681477864
a85,a,24.413333333333338,20.987415,3.4259180196126344
a86,a,23.11666666666667,21.93622,1.1804464975992879
a87,a,21.36,22.113565,0.7535654449462896
a88,a,21.570000000000004,21.189484,0.38051635742187884
a89,a,26.916666666666668,23.791197,3.1254698435465507
a9,a,22.876666666666665,21.266495,1.6101719156901027
a90,a,18.24,17.180386,1.059614410400389
a91,a,22.206666666666667,23.567608,1.3609412129720049
a92,a,18.813333333333333,19.081648,0.2683145395914721
a93,a,23.55333333333333,22.96054,0.592792561848956
a94,a,25.676666666666666,23.928413,1.7482532755533846
a95,a,14.79,18.195444,3.405444107055665
a96,a,16.026666666666667,17.475164,1.4484977467854812
a97,a,16.58666666666667,17.477,0.8903326161702445
a98,a,23.69333333333333,23.277008,0.4163252766927066
a99,a,24.400000000000002,23.214952,1.1850475311279318
c0,a,13.680000000000001,15.836549,2.156548805236815
e1,a,13.546666666666667,15.819899,2.273231938680013
e10,a,15.793333333333331,20.929499,5.13616533915202
e11,a,14.203333333333333,20.8141,6.6107669321695965
e12,a,15.386666666666665,20.69219,5.305523503621421
e13,a,13.969999999999999,17.328077,3.358077316284181
e14,a,13.826666666666666,16.260376,2.433709309895834
e15,a,13.659999999999998,16.394564,2.7345636749267594
e16,a,14.996666666666668,20.950077,5.953410390218098
e17,a,14.926666666666668,19.969946,5.043279240926106
e18,a,13.790000000000001,21.569286,7.779286346435546
e19,a,14.549999999999999,20.840036,6.290036392211915
e2,a,13.663333333333334,15.283407,1.620073877970377
e20,a,14.01,20.921703,6.911703338623047
e21,a,16.44,21.343481,4.903481063842772
e22,a,12.413333333333334,16.763128,4.349794947306314
e23,a,11.756666666666668,16.43955,4.682883733113606
e24,a,14.813333333333334,16.050577,1.2372438303629547
e25,a,16.23,17.13353,0.9035296630859371
e26,a,19.16333333333333,16.191828,2.971505559285479
e27,a,19.849999999999998,16.799654,3.05034599304199
e28,a,18.793333333333333,18.078356,0.7149775441487627
e29,a,24.61,17.348518,7.261481628417968
e3,a,14.106666666666667,15.631259,1.5245922978719069
e30,a,24.310000000000002,16.02714,8.282860336303713
e31,a,21.746666666666666,17.680468,4.066199061075846
e32,a,16.84,17.678411,0.8384114837646486
e33,a,11.753333333333332,16.644735,4.891402002970379
e34,a,10.93,17.516788,6.586788482666016
e35,a,12.100000000000001,16.365417,4.265417480468749
e36,a,12.506666666666666,16.755789,4.24912213643392
e37,a,26.816666666666666,18.021706,8.79496103922526
e38,a,22.97333333333333,17.721054,5.252279256184892
e39,a,27.436666666666667,17.423317,10.013349711100261
e4,a,14.19,17.680967,3.4909673309326177
e40,a,21.923333333333332,17.3208,4.602532552083332
e41,a,24.060000000000002,18.092743,5.967257080078127
e42,a,23.14,18.65051,4.489489212036133
e43,a,13.38,16.279327,2.899327392578124
e44,a,12.493333333333332,15.762718,3.2693848673502615
e45,a,13.53,15.61903,2.0890299987792975
e46,a,17.456666666666667,17.822517,0.36585072835286425
e47,a,16.823333333333334,17.371086,0.5477527872721346
e48,a,16.01,18.161076,2.151075592041014
e49,a,19.80666666666667,19.459166,0.34750109354655123
e5,a,14.886666666666668,18.56537,3.6787038930257143
e50,a,20.650000000000002,20.159763,0.4902366638183615
e51,a,22.896666666666665,20.33224,2.564427515665688
e52,a,26.14,22.086916,4.053084030151368
e53,a,25.7,21.364012,4.335988235473632
e54,a,27.97666666666667,22.328768,5.647898890177412
e55,a,12.176666666666668,14.9015465,2.7248798116048167
e56,a,12.503333333333332,15.577045,3.073712107340496
e57,a,12.716666666666669,14.552979,1.8363128026326478
e58,a,24.006666666666664,18.047348,5.959318644205727
e59,a,21.426666666666666,18.554579,2.872087885538736
e6,a,14.823333333333332,14.388126,0.43520696004231674
e60,a,23.19333333333333,18.511196,4.682137196858722
e61,a,23.959999999999997,20.220884,3.73911567687988
e62,a,24.89,20.66043,4.229569091796876
e63,a,23.61,19.15947,4.450530395507812
e64,a,12.483333333333334,15.649488,3.1661551157633454
e65,a,12.536666666666667,16.894604,4.35793706258138
e66,a,12.756666666666668,15.245962,2.4892954762776682
e67,a,16.656666666666666,17.047953,0.3912859853108728
e68,a,16.59,17.744034,1.1540338134765626
e69,a,17.06,15.573453,1.486547050476073
e7,a,14.57,18.572742,4.002742462158203
e70,a,18.74,19.427656,0.6876561737060563
e71,a,19.52333333333333,19.240702,0.2826316579182908
e72,a,18.376666666666665,20.330477,1.9538100941975927
e73,a,25.540000000000003,21.222843,4.317156829833987
